region,herd,cow,study_lact,herd_size,mwp,parity,milk120,calv_dt,cf,fs,cc,wpc,spc,twin,dyst,rp,vag_disch,h7
1,1,1,1,294,26,5,3505.800049,1996-11-11,80,,,,6,0,0,0,0,1
1,1,2,1,294,26,5,3691.300049,1997-01-12,64,,,,3,0,0,0,0,1
1,1,3,1,294,26,5,4173,1997-01-17,71,0,93,67,2,0,0,0,0,1
1,1,4,1,294,26,5,3727.300049,1997-02-11,35,1,35,9,1,0,0,0,0,1
1,1,5,1,294,26,5,3090.800049,1997-06-26,47,0,87,61,2,0,0,0,0,1
1,1,6,1,294,26,4,5041.200195,1996-10-16,,,,,,0,0,1,0,1
1,1,7,1,294,26,5,3861.199951,1996-12-22,46,,,,2,0,0,0,0,1
1,1,8,1,294,26,5,4228.399902,1996-12-31,44,0,143,117,4,0,0,0,0,1
1,1,9,1,294,26,6,3431.100098,1997-08-08,62,1,62,36,1,0,0,0,0,1
1,1,10,1,294,26,5,4445.5,1996-12-18,,,,,,0,0,0,0,1
1,1,11,1,294,26,5,3984.699951,1997-03-05,45,1,45,19,1,0,0,1,0,1
1,1,12,1,294,26,5,4064.699951,1996-12-26,73,0,116,90,2,0,0,0,0,1
1,1,13,1,294,26,5,4327.5,1996-10-24,,,,,,0,0,0,0,1
1,1,14,1,294,26,5,3672.199951,1997-04-04,,,,,,0,0,0,0,1
1,1,15,1,294,26,4,4241.5,1997-06-30,67,1,67,41,1,0,0,0,0,1
1,1,16,1,294,26,4,3939.5,1997-05-09,,,,,,0,0,1,0,1
1,1,17,1,294,26,2,3416.600098,1996-09-12,52,0,123,97,2,0,1,0,0,1
1,1,17,2,294,26,3,3529.5,1997-10-18,88,1,88,62,1,0,0,1,0,1
1,1,18,1,294,26,5,4388.100098,1996-12-27,,,,,,0,0,0,0,1
1,1,19,1,294,26,6,3870.399902,1997-06-21,43,0,65,39,2,0,0,0,0,1
1,1,20,1,294,26,6,3468.300049,1996-10-26,,,,,,0,0,0,0,1
1,1,21,1,294,26,6,3732.800049,1997-09-06,,,,,,0,0,1,0,1
1,1,22,1,294,26,7,4288.399902,1997-10-13,66,,,,1,0,0,0,0,1
1,1,23,1,294,26,5,4111,1997-05-12,95,0,193,167,2,0,0,0,0,1
1,1,24,1,294,26,5,3689.899902,1996-10-31,45,1,45,19,1,0,0,0,0,1
1,1,24,2,294,26,6,3337.100098,1997-09-27,66,1,66,40,1,0,0,0,0,1
1,1,25,1,294,26,6,3737.399902,1996-10-25,51,1,51,25,1,0,0,0,0,1
