province;herd;cow;visit;tx;fec;lact;season;past_lact;man_heif;man_lact
1;1;46;5;0;3;1;2;1;0;0
1;1;46;6;0;3;1;2;1;0;0
1;1;46;7;0;11;1;2;1;0;0
1;1;46;8;0;7;1;3;1;0;0
1;1;46;9;0;17;1;3;1;0;0
1;1;46;10;0;6;1;3;1;0;0
1;1;46;11;0;21;1;4;1;0;0
1;1;46;12;0;3;1;4;1;0;0
1;1;60;2;0;0;1;1;1;0;0
1;1;60;3;0;0;1;1;1;0;0
1;1;60;4;0;0;1;1;1;0;0
1;1;70;2;0;2;0;1;1;0;0
1;1;70;3;0;0;0;1;1;0;0
1;1;70;5;0;5;1;2;1;0;0
1;1;70;6;0;0;1;2;1;0;0
1;1;70;7;0;0;1;2;1;0;0
1;1;70;8;0;0;1;3;1;0;0
1;1;70;9;0;2;1;3;1;0;0
1;1;70;10;0;0;1;3;1;0;0
1;1;70;11;0;0;1;4;1;0;0
1;1;70;12;0;2;1;4;1;0;0
1;1;72;2;0;23;0;1;1;0;0
1;1;72;3;0;12;0;1;1;0;0
1;1;72;4;0;15;0;1;1;0;0
1;1;72;6;0;21;0;2;1;0;0
1;1;72;7;0;40;0;2;1;0;0
1;1;72;8;0;27;1;3;1;0;0
1;1;72;9;0;52;1;3;1;0;0
1;1;72;10;0;6;1;3;1;0;0
1;1;72;11;0;1;1;4;1;0;0
1;1;72;12;0;13;1;4;1;0;0
1;1;73;2;0;8;0;1;1;0;0
1;1;73;3;0;9;0;1;1;0;0
1;1;73;5;0;9;0;2;1;0;0
1;1;73;6;1;0;1;2;1;0;0
1;1;73;7;1;0;1;2;1;0;0
1;1;73;8;1;0;1;3;1;0;0
1;1;73;9;1;0;1;3;1;0;0
1;1;73;10;1;7;1;3;1;0;0
1;1;73;11;1;0;1;4;1;0;0
1;1;73;12;1;3;1;4;1;0;0
1;1;77;2;1;0;1;1;1;0;0
1;1;77;3;1;0;1;1;1;0;0
1;1;77;4;1;0;1;1;1;0;0
1;1;77;5;1;0;1;2;1;0;0
1;1;77;6;1;1;1;2;1;0;0
1;1;77;7;1;0;1;2;1;0;0
1;1;77;8;1;2;1;3;1;0;0
1;1;77;9;1;4;1;3;1;0;0
1;1;77;10;1;12;1;3;1;0;0
1;1;77;11;1;17;1;4;1;0;0
1;1;77;12;1;26;1;4;1;0;0
1;1;92;2;0;4;1;1;1;0;0
1;1;92;5;0;0;1;2;1;0;0
1;1;92;6;0;0;1;2;1;0;0
1;1;92;7;0;0;1;2;1;0;0
1;1;92;8;0;0;1;3;1;0;0
1;1;92;9;0;0;1;3;1;0;0
1;1;92;10;0;1;1;3;1;0;0
1;1;92;11;0;0;1;4;1;0;0
1;1;92;12;0;5;1;4;1;0;0
1;1;186;5;0;4;1;2;1;0;0
1;1;186;6;0;2;1;2;1;0;0
1;1;186;7;0;0;1;2;1;0;0
1;1;186;8;0;0;1;3;1;0;0
1;1;186;9;0;0;1;3;1;0;0
1;1;186;10;0;0;1;3;1;0;0
1;1;186;11;0;0;1;4;1;0;0
1;1;186;12;0;0;1;4;1;0;0
1;1;190;2;0;6;1;1;1;0;0
1;1;190;3;0;3;1;1;1;0;0
1;1;190;4;0;5;1;1;1;0;0
1;1;190;5;0;0;1;2;1;0;0
1;1;190;6;0;4;1;2;1;0;0
1;1;190;7;0;1;1;2;1;0;0
1;1;190;8;0;13;1;3;1;0;0
1;1;190;9;0;24;1;3;1;0;0
1;1;190;10;1;5;1;3;1;0;0
1;1;190;11;1;2;1;4;1;0;0
1;1;190;12;1;0;1;4;1;0;0
1;2;101;2;0;17;1;1;1;0;0
1;2;101;3;0;2;1;1;1;0;0
1;2;101;4;0;0;1;2;1;0;0
1;2;101;5;0;0;1;2;1;0;0
1;2;101;6;0;0;1;2;1;0;0
1;2;101;7;0;0;1;3;1;0;0
1;2;101;8;0;1;1;3;1;0;0
1;2;101;9;0;1;1;3;1;0;0
1;2;101;10;0;1;1;4;1;0;0
1;2;101;11;0;0;1;4;1;0;0
1;2;101;12;0;1;1;4;1;0;0
1;2;106;2;0;0;1;1;1;0;0
1;2;106;3;0;2;1;1;1;0;0
1;2;106;4;0;5;1;2;1;0;0
1;2;106;5;0;8;1;2;1;0;0
1;2;106;6;0;20;1;2;1;0;0
1;2;106;7;0;185;1;3;1;0;0
1;2;110;2;0;2;1;1;1;0;0
1;2;110;3;0;0;1;1;1;0;0
1;2;110;4;0;0;1;2;1;0;0
1;2;110;5;0;4;1;2;1;0;0
1;2;110;6;0;0;1;2;1;0;0
1;2;110;7;1;0;1;3;1;0;0
1;2;110;8;1;1;1;3;1;0;0
1;2;110;9;1;2;1;3;1;0;0
1;2;110;10;1;4;1;4;1;0;0
1;2;110;11;1;5;1;4;1;0;0
1;2;110;12;1;3;1;4;1;0;0
1;2;128;3;0;4;1;1;1;0;0
1;2;128;4;0;0;1;2;1;0;0
1;2;128;5;0;0;1;2;1;0;0
1;2;128;6;0;1;1;2;1;0;0
1;2;128;7;0;0;1;3;1;0;0
1;2;128;8;0;2;1;3;1;0;0
1;2;128;9;0;14;1;3;1;0;0
1;2;128;10;0;3;1;4;1;0;0
1;2;128;11;0;8;1;4;1;0;0
1;2;128;12;0;4;1;4;1;0;0
1;2;133;2;0;3;0;1;1;0;0
1;2;133;3;0;0;0;1;1;0;0
1;2;133;4;0;0;0;2;1;0;0
1;2;133;5;0;3;0;2;1;0;0
1;2;133;6;0;6;0;2;1;0;0
1;2;133;7;0;30;1;3;1;0;0
1;2;133;8;0;11;1;3;1;0;0
1;2;133;9;0;18;1;3;1;0;0
1;2;133;10;0;7;1;4;1;0;0
1;2;133;11;0;4;1;4;1;0;0
1;2;133;12;0;6;1;4;1;0;0
1;2;137;2;0;31;0;1;1;0;0
1;2;137;3;0;52;0;1;1;0;0
1;2;137;4;0;44;0;2;1;0;0
1;2;137;5;0;26;0;2;1;0;0
1;2;137;6;0;38;0;2;1;0;0
1;2;137;7;1;0;1;3;1;0;0
1;2;138;2;0;78;0;1;1;0;0
1;2;138;3;0;19;0;1;1;0;0
1;2;138;4;0;16;0;2;1;0;0
1;2;138;5;0;35;0;2;1;0;0
1;2;138;6;0;33;0;2;1;0;0
1;2;138;7;0;55;0;3;1;0;0
1;2;141;2;0;0;0;1;1;0;0
1;2;141;3;0;0;0;1;1;0;0
1;2;141;4;0;0;0;2;1;0;0
1;2;141;5;0;2;0;2;1;0;0
1;2;141;6;0;8;0;2;1;0;0
1;2;141;7;0;12;0;3;1;0;0
1;2;141;8;0;76;0;3;1;0;0
1;2;141;9;0;320;0;3;1;0;0
1;2;141;10;0;198;0;4;1;0;0
1;2;141;11;0;157;0;4;1;0;0
1;2;141;12;0;228;0;4;1;0;0
1;3;265;1;0;4;1;1;1;1;1
1;3;265;2;0;3;1;1;1;1;1
1;3;265;3;0;0;1;1;1;1;1
1;3;265;4;0;0;1;2;1;1;1
1;3;265;5;0;0;1;2;1;1;1
1;3;265;6;0;1;1;2;1;1;1
1;3;265;7;0;0;1;3;1;1;1
1;3;265;8;0;1;1;3;1;1;1
1;3;265;11;1;1;1;4;1;1;1
1;3;265;12;1;0;1;4;1;1;1
1;3;275;1;0;3;0;1;1;1;1
1;3;275;2;0;0;0;1;1;1;1
1;3;275;3;0;0;0;1;1;1;1
1;3;275;4;0;0;0;2;1;1;1
1;3;275;5;0;0;0;2;1;1;1
1;3;275;6;0;0;0;2;1;1;1
1;3;290;1;0;36;0;1;1;1;1
1;3;290;2;0;42;0;1;1;1;1
1;3;290;3;0;19;0;1;1;1;1
1;3;290;4;0;12;0;2;1;1;1
1;3;290;5;0;0;0;2;1;1;1
1;3;290;6;0;1;0;2;1;1;1
1;3;290;7;0;0;0;3;1;1;1
1;3;290;8;0;0;0;3;1;1;1
1;3;290;9;0;0;0;3;1;1;1
