id;casecont;numcow;prod;bscc;dbarn;dout;dcprep;dcpct;dneo;dclox;doth
1;0;16;20,1;446,2000122;2;1;4;0;0;0;1
2;0;16;22,3;214;2;1;3;100;1;0;1
3;0;18;24,9;260;2;1;3;25;0;0;1
4;0;18;;184,1999969;1;1;3;1;0;0;1
5;0;20;34,5;61,40000153;2;1;3;100;0;1;0
6;0;21;22,7;80,19999695;1;1;3;0;0;0;0
7;0;22;20,6;118,1999969;2;1;4;0;0;0;0
8;0;22;11,4;181,8000031;2;1;3;25;1;1;1
9;0;23;23,9;106,5999985;2;1;3;100;0;1;0
10;0;23;16,1;309,6000061;2;1;3;14;1;0;0
11;0;23;23,7;190;2;1;3;100;0;1;0
12;0;24;22,6;161,3999939;2;1;3;75;1;0;0
13;0;25;20,5;302,7999878;3;1;3;90;1;1;1
14;0;25;20,6;364,6000061;2;1;3;30;0;0;1
15;0;30;22,7;175,1999969;2;1;3;5;1;0;1
16;0;30;20,6;340,6000061;2;1;3;5;1;0;0
17;0;30;23;129,6000061;2;1;3;100;1;1;1
18;0;34;12,1;277,2000122;3;1;4;0;0;0;0
19;0;34;27,3;56,40000153;2;1;3;100;1;1;1
20;0;35;18,4;119,4000015;2;1;4;0;0;0;0
21;0;35;22,9;195,6000061;2;1;3;100;0;1;1
22;0;36;30,6;167,1999969;2;1;3;20;1;0;1
23;0;37;24,2;63,40000153;2;1;3;100;0;0;1
24;0;37;18;308;2;1;2;100;1;0;0
25;0;37;22,7;244;2;1;3;50;1;1;1
26;0;38;19;414,6000061;2;1;3;7;0;0;1
27;0;40;26,8;165,3999939;2;1;3;50;1;0;0
28;0;40;27,3;496,7999878;1;1;3;50;0;0;1
29;0;40;28,8;89,80000305;1;1;4;0;0;0;0
30;0;41;24;175,8000031;2;1;3;100;1;0;1
31;0;42;17;138,1999969;3;1;3;30;1;0;1
32;0;42;27,2;108,4000015;2;1;3;100;1;0;1
33;0;43;17,7;65,59999847;2;1;3;100;0;0;1
34;0;44;23;87,59999847;2;1;3;99;0;0;1
35;0;47;26;63,20000076;2;1;3;99;1;1;1
36;0;50;15,9;167;2;1;3;100;1;1;1
37;0;50;26;208,1999969;1;1;3;100;0;0;1
38;0;50;20;123,4000015;2;1;3;100;0;1;0
39;0;50;22,7;313,3999939;2;1;3;75;1;0;1
40;0;50;24,6;186,3999939;2;1;1;80;1;1;0
41;0;50;23;53,40000153;1;2;3;100;0;0;1
42;0;53;22,7;302,7999878;2;1;3;100;0;1;1
43;0;55;18,2;118;2;1;3;100;0;1;1
44;0;55;20;73,59999847;1;1;3;100;0;1;0
45;0;56;27,1;406;2;1;4;0;0;0;0
46;0;60;20;123,8000031;1;1;3;100;0;0;1
47;0;60;23;88,40000153;1;1;3;100;0;0;1
48;0;75;;113;2;1;3;3;1;0;0
49;0;80;;419;2;1;3;100;1;0;1
50;0;85;28,8;316,6000061;2;1;2;100;1;1;1
51;0;90;24,9;102;1;1;3;100;0;0;1
52;0;90;26;95,80000305;1;2;3;100;1;1;0
53;0;91;28,7;216,8000031;1;3;3;5;1;0;1
54;0;100;18,3;298,2000122;1;2;3;100;0;1;0
