herdid;cowid;test;h_size;c_heifer;t_season;t_dim;t_lnscc
1;1;0;45;0;2;21;6.565265179
1;2;2;45;0;2;76;6.396930218
1;3;0;45;0;3;22;5.39362812
1;4;1;45;0;2;36;4.605169773
1;5;0;45;0;3;11;3.688879013
1;6;5;45;0;3;169;7.265429974
1;7;1;45;0;2;58;4.094345093
1;8;3;45;0;3;110;6.345635891
1;9;1;45;0;2;43;8.113725662
1;10;3;45;0;3;112;2.995732069
1;11;0;45;0;2;17;3.912023067
1;12;0;45;0;3;18;7.922986031
1;13;2;45;0;3;66;4.700479984
1;14;0;45;0;4;23;5.52146101
1;15;4;45;0;2;134;5.39362812
1;16;5;45;0;3;152;2.302584887
1;17;0;45;0;4;16;2.302584887
1;18;1;45;0;2;53;6.194405079
1;19;0;45;0;3;21;2.995732069
1;20;2;45;0;2;70;2.995732069
1;21;1;45;0;3;43;2.995732069
1;22;3;45;0;3;102;2.302584887
1;23;0;45;0;1;12;2.995732069
1;24;6;45;0;2;198;7.215240002
1;25;1;45;0;2;32;7.795647144
1;26;1;45;0;2;31;6.396930218
1;27;6;45;0;3;188;5.135797977
1;28;1;45;0;2;42;3.401196957
1;29;0;45;0;2;27;4.700479984
1;30;0;45;0;1;16;5.247024059
1;31;0;45;0;3;11;3.688879013
1;32;3;45;1;3;116;5.703782082
1;33;8;45;1;2;260;5.43807888
1;34;1;45;0;3;51;4.382027149
1;35;0;45;1;2;29;2.302584887
1;36;0;45;1;2;17;5.669880867
1;37;0;45;1;3;18;2.302584887
1;38;4;45;1;3;124;4.248495102
1;39;3;45;1;3;115;4.605169773
1;40;0;45;1;3;20;2.302584887
1;41;1;45;1;2;30;4.094345093
1;42;4;45;1;3;127;4.094345093
1;43;0;45;1;2;26;4.382027149
1;44;0;45;1;3;14;2.302584887
1;45;1;45;1;4;31;6.445720196
1;46;0;45;1;4;11;6.646390915
1;47;0;45;1;2;11;3.688879013
1;48;0;45;1;4;13;2.302584887
1;49;1;45;1;4;30;2.995732069
1;50;0;45;1;3;22;5.247024059
1;51;1;45;1;4;32;2.995732069
1;52;0;45;1;4;18;2.302584887
1;53;0;45;1;4;18;2.302584887
1;54;0;45;1;4;26;3.688879013
1;55;1;45;1;3;32;2.995732069
1;56;0;45;1;1;27;2.995732069
1;57;0;45;1;2;13;3.401196957
1;58;1;45;1;3;30;2.995732069
1;59;0;45;1;2;16;4.499810219
1;60;0;45;1;2;24;2.302584887
1;61;0;45;1;2;12;2.302584887
1;62;0;45;1;2;24;2.302584887
1;63;0;45;1;3;24;5.010634899
1;64;1;45;1;3;31;4.867534161
1;65;0;45;1;2;13;5.075173855
1;66;1;45;1;3;36;4.094345093
1;67;4;45;0;3;139;7.828038216
1;68;1;45;0;3;33;6.01615715
2;69;1;56.20000076;1;2;53;5.347107887
2;70;0;56.20000076;1;4;13;3.688879013
2;71;1;56.20000076;0;3;41;6.756931782
2;72;1;56.20000076;0;2;45;4.787491798
2;73;0;56.20000076;0;2;11;5.940170765
2;74;0;56.20000076;0;2;20;6.697033882
2;75;2;56.20000076;0;2;87;5.669880867
2;76;1;56.20000076;0;2;40;4.094345093
2;77;2;56.20000076;0;2;78;3.688879013
2;78;1;56.20000076;0;2;51;3.912023067
2;79;0;56.20000076;0;2;22;3.912023067
2;80;0;56.20000076;0;2;13;4.499810219
2;81;2;56.20000076;0;2;78;6.476972103
2;82;1;56.20000076;0;2;52;4.382027149
2;83;0;56.20000076;0;2;19;6.937314034
2;84;4;56.20000076;0;2;148;4.787491798
2;85;3;56.20000076;0;2;94;5.010634899
2;86;2;56.20000076;0;2;60;5.010634899
2;87;2;56.20000076;0;2;70;5.247024059
2;88;7;56.20000076;1;2;216;2.995732069
2;89;1;56.20000076;0;2;48;5.347107887
2;90;0;56.20000076;0;2;23;4.382027149
2;91;1;56.20000076;0;2;45;4.787491798
2;92;0;56.20000076;0;2;22;4.867534161
2;93;4;56.20000076;1;2;149;6.396930218
2;94;4;56.20000076;1;2;149;6.507277966
2;95;3;56.20000076;1;2;99;3.912023067
2;96;3;56.20000076;1;2;116;3.688879013
2;97;1;56.20000076;0;1;31;3.401196957
2;98;4;56.20000076;1;2;134;4.605169773
2;99;0;56.20000076;1;4;13;4.248495102
2;100;0;56.20000076;1;4;29;2.995732069
2;101;1;56.20000076;1;4;36;3.401196957
2;102;0;56.20000076;1;4;17;4.094345093
2;103;3;56.20000076;1;2;114;4.094345093
2;104;0;56.20000076;1;4;25;2.302584887
2;105;0;56.20000076;1;4;16;4.382027149
2;106;1;56.20000076;1;4;31;4.248495102
2;107;1;56.20000076;1;2;44;4.605169773
2;108;0;56.20000076;1;4;14;4.382027149
2;109;0;56.20000076;1;4;29;2.995732069
2;110;0;56.20000076;1;4;13;3.688879013
2;111;0;56.20000076;1;4;19;3.688879013
2;112;0;56.20000076;1;4;13;3.912023067
2;113;1;56.20000076;1;2;40;5.298316956
2;114;0;56.20000076;1;2;26;2.995732069
2;115;0;56.20000076;1;2;25;6.72142601
2;116;1;56.20000076;1;2;35;4.382027149
2;117;0;56.20000076;1;2;23;2.995732069
2;118;1;56.20000076;1;2;33;5.703782082
2;119;0;56.20000076;1;2;11;3.688879013
2;120;1;56.20000076;1;2;41;3.401196957
2;121;1;56.20000076;1;2;33;4.248495102
2;122;1;56.20000076;1;2;30;3.688879013
2;123;1;56.20000076;1;2;39;4.094345093
2;124;1;56.20000076;1;2;39;3.912023067
2;125;0;56.20000076;0;2;16;3.688879013
2;126;1;56.20000076;1;2;30;3.912023067
2;127;1;56.20000076;1;2;45;5.247024059
2;128;1;56.20000076;1;2;48;6.063785076
2;129;0;56.20000076;1;2;27;6.063785076
2;130;1;56.20000076;0;2;52;6.72142601
2;131;0;56.20000076;0;4;18;4.382027149
2;132;1;56.20000076;0;4;43;5.135797977
2;133;0;56.20000076;0;4;24;5.828946114
2;134;0;56.20000076;0;4;11;5.940170765
2;135;6;56.20000076;1;2;197;4.382027149
2;136;1;56.20000076;1;4;35;4.094345093
2;137;1;56.20000076;0;2;46;6.173786163
2;138;0;56.20000076;0;2;12;5.828946114
2;139;1;56.20000076;1;2;39;6.522092819
2;140;3;56.20000076;0;2;107;3.688879013
3;141;1;101.5;0;1;44;4.248495102
3;142;1;101.5;0;2;32;7.130898952
3;143;0;101.5;0;2;23;7.73193121
3;144;0;101.5;1;3;26;4.094345093
3;145;0;101.5;1;2;23;3.912023067
3;146;1;101.5;0;2;44;4.941641808
3;147;0;101.5;0;4;11;6.672032833
3;148;1;101.5;1;3;33;2.995732069
3;149;0;101.5;0;3;26;5.52146101
3;150;0;101.5;1;3;21;4.248495102
3;151;1;101.5;1;3;35;3.401196957
3;152;0;101.5;1;2;12;5.075173855
3;153;0;101.5;1;2;12;3.688879013
3;154;0;101.5;1;3;20;5.347107887
3;155;0;101.5;0;1;12;5.669880867
3;156;1;101.5;0;2;31;7.200425148
3;157;1;101.5;0;3;42;3.688879013
3;158;1;101.5;0;2;35;3.401196957
3;159;0;101.5;0;4;10;5.52146101
3;160;0;101.5;0;4;17;2.995732069
3;161;1;101.5;0;2;36;2.995732069
4;162;3;26.70000076;0;3;98;4.248495102
4;163;4;26.70000076;1;2;147;4.248495102
4;164;0;26.70000076;0;4;18;4.867534161
4;165;0;26.70000076;0;2;10;5.828946114
4;166;0;26.70000076;0;2;24;6.234410763
4;167;2;26.70000076;0;2;68;2.995732069
4;168;0;26.70000076;0;3;25;7.615790844
4;169;5;26.70000076;0;2;163;6.131226063
4;170;1;26.70000076;0;4;40;4.867534161
4;171;8;26.70000076;1;2;257;6.01615715
4;172;8;26.70000076;1;2;258;4.248495102
4;173;1;26.70000076;0;3;42;5.075173855
4;174;0;26.70000076;0;3;14;6.768493176
4;175;0;26.70000076;0;3;20;3.688879013
4;176;5;26.70000076;1;2;172;5.991465092
4;177;0;26.70000076;0;3;18;4.867534161
4;178;0;26.70000076;1;3;27;6.606649876
4;179;0;26.70000076;1;4;19;4.867534161
4;180;0;26.70000076;1;3;20;3.912023067
4;181;0;26.70000076;1;3;15;3.688879013
4;182;3;26.70000076;1;2;96;2.995732069
4;183;0;26.70000076;0;3;20;3.401196957
4;184;1;26.70000076;1;3;30;5.966146946
4;185;1;26.70000076;1;4;41;5.347107887
4;186;0;26.70000076;1;3;26;4.382027149
4;187;1;26.70000076;1;2;37;3.401196957
4;188;1;26.70000076;1;4;34;4.941641808
4;189;0;26.70000076;1;2;18;4.248495102
4;190;0;26.70000076;1;3;23;3.688879013
4;191;0;26.70000076;1;2;19;3.401196957
4;192;1;26.70000076;1;2;30;3.688879013
4;193;0;26.70000076;1;2;15;5.247024059
4;194;0;26.70000076;1;4;19;4.499810219
4;195;0;26.70000076;1;4;15;5.768321037
4;196;1;26.70000076;0;2;35;5.940170765
4;197;0;26.70000076;0;2;13;3.688879013
4;198;0;26.70000076;1;1;25;3.401196957
4;199;1;26.70000076;1;4;36;4.094345093
4;200;1;26.70000076;1;4;38;5.52146101
4;201;4;26.70000076;1;2;130;6.476972103
4;202;3;26.70000076;1;2;115;3.401196957
5;203;1;45.59999847;0;2;27;5.886104107
5;204;0;45.59999847;0;3;21;5.298316956
5;205;1;45.59999847;0;4;39;2.302584887
5;206;3;45.59999847;0;2;96;6.253829002
5;207;1;45.59999847;0;3;30;4.700479984
5;208;4;45.59999847;0;2;133;6.522092819
5;209;0;45.59999847;0;4;11;4.094345093
5;210;4;45.59999847;0;2;149;5.010634899
5;211;0;45.59999847;0;3;27;5.480638981
5;212;0;45.59999847;0;3;29;5.634789944
5;213;1;45.59999847;0;1;34;5.886104107
5;214;0;45.59999847;0;3;11;3.688879013
5;215;0;45.59999847;0;4;12;4.499810219
5;216;0;45.59999847;0;4;28;2.995732069
5;217;4;45.59999847;1;2;126;3.401196957
5;218;3;45.59999847;0;2;99;5.991465092
5;219;0;45.59999847;0;1;24;5.480638981
5;220;0;45.59999847;0;4;21;5.52146101
5;221;0;45.59999847;0;1;20;4.605169773
5;222;0;45.59999847;0;3;28;6.291569233
5;223;1;45.59999847;0;3;36;2.995732069
5;224;2;45.59999847;0;2;75;5.347107887
5;225;1;45.59999847;0;1;33;3.401196957
5;226;0;45.59999847;0;3;22;6.593045235
5;227;2;45.59999847;0;2;69;4.787491798
5;228;0;45.59999847;0;4;15;5.135797977
