obs;farm_id;type;sex;age;reactors;par
1;4002;2;0;0;1;525
2;4002;2;0;1;2;3675
3;4002;2;0;2;5;5775
4;4002;2;1;1;3;2625
5;4002;2;1;2;1;525
6;4003;2;0;2;2;7824
7;4003;2;1;2;0;462
8;4004;2;0;2;1;924
9;4004;2;1;2;0;924
10;4005;2;0;2;0;8722
11;4005;2;1;1;0;374
12;4006;2;0;0;0;232
13;4006;2;0;1;0;888
14;4006;2;0;2;2;10203
15;4006;2;1;0;0;464
16;4007;2;0;0;0;60
17;4007;2;0;1;0;172
18;4007;2;0;2;0;2924
19;4007;2;1;0;0;30
20;4007;2;1;2;0;172
21;4009;2;0;0;0;126
22;4009;2;0;2;0;1197
23;4010;1;0;2;4;7431
24;4010;1;1;2;0;177
25;4012;1;0;0;1;389
26;4012;1;0;1;0;6526
27;4012;1;0;2;1;57176
28;4502;2;0;0;0;408
29;4502;2;0;2;1;6348
30;4502;2;1;0;0;272
31;4502;2;1;1;1;574
32;4502;2;1;2;0;1058
33;4502;3;0;0;0;2076
34;4502;3;0;1;0;2195
35;4502;3;0;2;0;8566
36;4502;3;1;0;0;1219
37;4502;3;1;1;0;2641
38;4502;3;1;2;0;2254
39;5002;3;0;1;3;2880
40;5002;3;0;2;2;9804
41;5002;3;1;0;0;90
42;5002;3;1;1;0;1440
43;5002;3;1;2;1;1231
44;5005;3;0;0;0;6000
45;5005;3;0;2;29;21848
46;5005;3;1;0;0;7200
47;5005;3;1;2;2;958
48;5008;1;0;0;0;1874
49;5008;1;0;1;0;6588
50;5008;1;0;2;3;20976
51;5008;1;1;0;0;420
52;5008;3;0;0;0;4278
53;5008;3;0;1;0;12420
54;5008;3;0;2;1;26182
55;5008;3;1;0;0;2976
56;5008;3;1;1;1;11340
57;5008;3;1;2;0;1378
58;5018;3;0;2;0;775
59;5018;3;1;1;0;152
60;5018;3;1;2;1;149
61;5018;4;0;2;0;344
62;5018;4;1;2;1;344
63;5079;2;0;2;0;15537
64;5079;2;1;1;0;720
65;5079;3;0;0;0;1500
66;5079;3;0;1;0;2400
67;5079;3;0;2;0;4744
68;5079;3;1;1;1;4680
69;5080;2;0;0;0;780
70;5080;2;0;2;0;7884
71;5080;2;1;0;0;720
72;5080;2;1;1;0;660
73;5080;3;0;0;0;1200
74;5080;3;0;1;0;360
75;5080;3;0;2;4;25112
76;5080;3;1;0;0;720
77;5080;3;1;2;2;22104
78;5081;3;0;1;0;720
79;5081;3;0;2;0;5480
80;5081;3;1;2;0;1644
81;5082;3;0;1;0;1080
82;5082;3;1;0;0;90
83;5085;1;1;2;0;720
84;5085;3;0;0;0;337
85;5085;3;0;1;1;1800
86;5085;3;0;2;4;31440
87;5085;3;1;0;0;174
88;5085;3;1;1;1;1080
89;5085;3;1;2;0;27410
90;5085;4;0;0;0;45
91;5085;4;0;1;1;1080
92;5085;4;0;2;0;9360
93;5085;4;1;0;0;52
94;5085;4;1;1;0;720
95;5085;4;1;2;1;7200
96;5120;1;1;0;0;240
97;5120;2;0;0;0;20271
98;5120;2;0;2;7;47450
99;5120;2;1;0;0;11143
100;5120;2;1;2;1;2228
101;5121;2;0;0;0;4827
102;5121;2;0;1;0;4320
103;5121;2;0;2;1;30633
104;5121;2;1;0;0;4725
105;5121;2;1;1;0;2700
106;5121;2;1;2;0;1316
107;6005;2;0;1;1;10273
108;6005;2;0;2;0;19146
109;6005;2;1;2;0;1424
110;6006;2;0;2;0;1174
111;6007;2;0;2;1;6226
112;6113;2;0;2;0;3612
113;6214;2;0;2;1;5223
114;7059;3;0;0;0;24938.60938
115;7059;3;0;1;2;20086.32227
116;7059;3;1;0;0;15106.86816
117;7059;3;1;1;0;6223.642578
118;7175;3;0;1;17;21660
119;7175;3;0;2;12;12269
120;7175;3;1;1;11;15921
121;7175;3;1;2;7;25104
122;7175;4;1;1;0;631
123;8006;1;0;1;0;1148
124;8006;1;0;2;16;118084
125;8006;1;1;1;0;1148
126;8006;1;1;2;0;976
127;8006;2;0;0;0;990
128;8006;2;0;1;2;28400
129;8006;2;0;2;11;102327
130;8006;2;1;0;0;220
131;8006;2;1;1;1;14924
132;8006;2;1;2;0;4824
133;8023;2;0;2;20;6418
134;8023;2;1;2;0;135
