herd;cow;lnscc;lnsccel
1;2;3.09;0.13
1;3;3.53;-0.77
1;4;4.51;-0.94
1;5;4.16;1.59
1;6;3.37;-1.37
1;7;3.97;-0.51
2;8;3.56;-0.14
2;9;4.38;1.49
3;10;5.78;0.02
3;11;3.91;0.02
4;13;5.8;3.67
4;14;5.93;-0.47
5;15;5.24;0.11
6;17;6.43;1.15
7;20;4.39;0.14
8;21;3.47;0.28
8;22;4.13;0.3
8;23;3.04;-0.15
8;24;3.74;0.28
8;26;3.99;-0.03
8;28;4.74;-0.16
9;29;4.34;-0.36
9;30;2.89;-1.48
9;31;4.32;1.93
9;32;2.89;-1.56
9;33;4.45;-0.56
10;34;6.31;1.33
10;35;5.16;-1.23
11;36;3.37;0.13
11;37;7.92;1.9
12;39;3.64;0.85
12;40;3.56;-0.83
12;41;4.52;-1.33
12;42;3.04;-0.92
12;43;4.88;0.77
12;45;3.56;-0.31
12;46;4.03;-0.44
13;47;3.58;-0.64
13;48;3.3;-0.22
14;50;4.3;0.78
14;51;3.56;2.47
14;52;3.97;-0.85
14;53;3.4;-1.61
14;54;4.06;-0.77
14;55;2.77;-0.53
14;56;3.22;0.72
15;58;4.16;-0.79
15;59;6.89;0.22
16;60;3.33;0.25
16;61;2.77;-1.01
16;62;3.64;-1.44
16;63;2.3;-0.44
16;64;3.47;1.87
17;67;2.48;-1.76
17;68;3;-0.85
17;69;4.03;-0.17
17;70;5.27;0.48
17;71;3.04;-0.31
17;72;2.08;-1.44
18;74;3.47;0.91
18;75;4.57;1.08
18;76;3.74;2.24
18;77;4.16;0.65
18;79;8.13;0.9
19;81;4.55;0.95
19;82;3.33;-0.29
19;83;2.56;0.03
19;85;3.26;2.34
19;86;3.74;-1.56
19;87;2.83;-0.89
20;89;5;-0.01
20;92;5.11;-0.02
21;93;2.71;0.78
21;94;3.58;-0.79
21;96;3.95;2.23
22;97;6.32;0.37
22;98;2.64;-1.48
22;99;5.88;0.08
24;101;5.55;0.62
